DateTime,1,variable,statistic
1990-07-01T00:00:00Z,77.56434,ppt,MEAN
1990-08-01T00:00:00Z,92.58728,ppt,MEAN
1990-09-01T00:00:00Z,4.435936,ppt,MEAN
1990-10-01T00:00:00Z,227.2177,ppt,MEAN
1990-11-01T00:00:00Z,47.816425,ppt,MEAN
1990-12-01T00:00:00Z,96.57574,ppt,MEAN
1991-01-01T00:00:00Z,129.19307,ppt,MEAN
1991-02-01T00:00:00Z,27.270414,ppt,MEAN
1991-03-01T00:00:00Z,150.2048,ppt,MEAN
1991-04-01T00:00:00Z,57.43904,ppt,MEAN
1991-05-01T00:00:00Z,77.7848,ppt,MEAN
1991-06-01T00:00:00Z,67.30216,ppt,MEAN
1991-07-01T00:00:00Z,149.64273,ppt,MEAN
1991-08-01T00:00:00Z,64.83697,ppt,MEAN
1991-09-01T00:00:00Z,127.48195,ppt,MEAN
1991-10-01T00:00:00Z,44.786568,ppt,MEAN
1991-11-01T00:00:00Z,29.818693,ppt,MEAN
1991-12-01T00:00:00Z,65.33088,ppt,MEAN
1992-01-01T00:00:00Z,101.01344,ppt,MEAN
1992-02-01T00:00:00Z,57.1457,ppt,MEAN
1992-03-01T00:00:00Z,96.47381,ppt,MEAN
1992-04-01T00:00:00Z,66.70416,ppt,MEAN
1992-05-01T00:00:00Z,90.11377,ppt,MEAN
1992-06-01T00:00:00Z,173.31319,ppt,MEAN
1992-07-01T00:00:00Z,66.2089,ppt,MEAN
1992-08-01T00:00:00Z,123.34693,ppt,MEAN
1992-09-01T00:00:00Z,52.14765,ppt,MEAN
1992-10-01T00:00:00Z,105.24085,ppt,MEAN
1992-11-01T00:00:00Z,158.14037,ppt,MEAN
1992-12-01T00:00:00Z,66.1556,ppt,MEAN
1993-01-01T00:00:00Z,128.4901,ppt,MEAN
1993-02-01T00:00:00Z,73.06589,ppt,MEAN
1993-03-01T00:00:00Z,212.32137,ppt,MEAN
1993-04-01T00:00:00Z,110.73049,ppt,MEAN
1993-05-01T00:00:00Z,120.56118,ppt,MEAN
1993-06-01T00:00:00Z,23.016104,ppt,MEAN
1993-07-01T00:00:00Z,73.92205,ppt,MEAN
1993-08-01T00:00:00Z,96.603134,ppt,MEAN
1993-09-01T00:00:00Z,77.77466,ppt,MEAN
1993-10-01T00:00:00Z,92.87657,ppt,MEAN
1993-11-01T00:00:00Z,88.629456,ppt,MEAN
1993-12-01T00:00:00Z,94.14972,ppt,MEAN
1994-01-01T00:00:00Z,91.94951,ppt,MEAN
1994-02-01T00:00:00Z,86.73621,ppt,MEAN
1994-03-01T00:00:00Z,146.89694,ppt,MEAN
1994-04-01T00:00:00Z,65.35287,ppt,MEAN
1994-05-01T00:00:00Z,65.082405,ppt,MEAN
1994-06-01T00:00:00Z,65.776474,ppt,MEAN
1994-07-01T00:00:00Z,133.25545,ppt,MEAN
1994-08-01T00:00:00Z,117.25796,ppt,MEAN
1994-09-01T00:00:00Z,59.665924,ppt,MEAN
1994-10-01T00:00:00Z,127.540535,ppt,MEAN
1994-11-01T00:00:00Z,62.263874,ppt,MEAN
1994-12-01T00:00:00Z,31.662333,ppt,MEAN
1995-01-01T00:00:00Z,122.143196,ppt,MEAN
1995-02-01T00:00:00Z,117.93871,ppt,MEAN
1995-03-01T00:00:00Z,93.19575,ppt,MEAN
1995-04-01T00:00:00Z,26.494139,ppt,MEAN
1995-05-01T00:00:00Z,132.33417,ppt,MEAN
1995-06-01T00:00:00Z,224.9962,ppt,MEAN
1995-07-01T00:00:00Z,87.40633,ppt,MEAN
1995-08-01T00:00:00Z,104.788765,ppt,MEAN
1995-09-01T00:00:00Z,37.241207,ppt,MEAN
1995-10-01T00:00:00Z,191.56274,ppt,MEAN
1995-11-01T00:00:00Z,121.571434,ppt,MEAN
1995-12-01T00:00:00Z,52.31885,ppt,MEAN
1996-01-01T00:00:00Z,122.31642,ppt,MEAN
1996-02-01T00:00:00Z,62.388725,ppt,MEAN
1996-03-01T00:00:00Z,103.41133,ppt,MEAN
1996-04-01T00:00:00Z,96.07093,ppt,MEAN
1996-05-01T00:00:00Z,119.38677,ppt,MEAN
1996-06-01T00:00:00Z,69.526886,ppt,MEAN
1996-07-01T00:00:00Z,111.121315,ppt,MEAN
1996-08-01T00:00:00Z,112.518456,ppt,MEAN
1996-09-01T00:00:00Z,333.61392,ppt,MEAN
1996-10-01T00:00:00Z,100.303055,ppt,MEAN
1996-11-01T00:00:00Z,81.76349,ppt,MEAN
1996-12-01T00:00:00Z,97.92056,ppt,MEAN
1997-01-01T00:00:00Z,91.60645,ppt,MEAN
1997-02-01T00:00:00Z,75.51043,ppt,MEAN
1997-03-01T00:00:00Z,63.833706,ppt,MEAN
1997-04-01T00:00:00Z,133.82973,ppt,MEAN
1997-05-01T00:00:00Z,42.315018,ppt,MEAN
1997-06-01T00:00:00Z,92.26235,ppt,MEAN
1997-07-01T00:00:00Z,127.357864,ppt,MEAN
1997-08-01T00:00:00Z,28.448568,ppt,MEAN
1997-09-01T00:00:00Z,95.837425,ppt,MEAN
1997-10-01T00:00:00Z,69.0739,ppt,MEAN
1997-11-01T00:00:00Z,106.96222,ppt,MEAN
1997-12-01T00:00:00Z,73.05241,ppt,MEAN
1998-01-01T00:00:00Z,239.55775,ppt,MEAN
1998-02-01T00:00:00Z,167.99396,ppt,MEAN
1998-03-01T00:00:00Z,202.9114,ppt,MEAN
1998-04-01T00:00:00Z,95.045876,ppt,MEAN
1998-05-01T00:00:00Z,96.74189,ppt,MEAN
1998-06-01T00:00:00Z,79.101524,ppt,MEAN
1998-07-01T00:00:00Z,73.5764,ppt,MEAN
1998-08-01T00:00:00Z,118.65666,ppt,MEAN
1998-09-01T00:00:00Z,92.91284,ppt,MEAN
1998-10-01T00:00:00Z,41.690643,ppt,MEAN
1998-11-01T00:00:00Z,60.792854,ppt,MEAN
1998-12-01T00:00:00Z,100.4385,ppt,MEAN
1999-01-01T00:00:00Z,167.95612,ppt,MEAN
1999-02-01T00:00:00Z,56.275837,ppt,MEAN
1999-03-01T00:00:00Z,89.45019,ppt,MEAN
1999-04-01T00:00:00Z,119.17344,ppt,MEAN
1999-05-01T00:00:00Z,28.153173,ppt,MEAN
1999-06-01T00:00:00Z,84.660194,ppt,MEAN
1999-07-01T00:00:00Z,74.28773,ppt,MEAN
1999-08-01T00:00:00Z,116.494,ppt,MEAN
1999-09-01T00:00:00Z,485.25345,ppt,MEAN
1999-10-01T00:00:00Z,71.919846,ppt,MEAN
1999-11-01T00:00:00Z,61.00133,ppt,MEAN
1999-12-01T00:00:00Z,47.940292,ppt,MEAN
2000-01-01T00:00:00Z,124.71055,ppt,MEAN
2000-02-01T00:00:00Z,61.791344,ppt,MEAN
2000-03-01T00:00:00Z,78.77004,ppt,MEAN
2000-04-01T00:00:00Z,148.36469,ppt,MEAN
2000-05-01T00:00:00Z,63.25266,ppt,MEAN
2000-06-01T00:00:00Z,114.464226,ppt,MEAN
2000-07-01T00:00:00Z,154.92984,ppt,MEAN
2000-08-01T00:00:00Z,125.58027,ppt,MEAN
2000-09-01T00:00:00Z,108.7014,ppt,MEAN
2000-10-01T00:00:00Z,4.6618423,ppt,MEAN
2000-11-01T00:00:00Z,56.67002,ppt,MEAN
2000-12-01T00:00:00Z,36.056282,ppt,MEAN
2001-01-01T00:00:00Z,62.814415,ppt,MEAN
2001-02-01T00:00:00Z,70.608215,ppt,MEAN
2001-03-01T00:00:00Z,160.83212,ppt,MEAN
2001-04-01T00:00:00Z,64.926445,ppt,MEAN
2001-05-01T00:00:00Z,91.94572,ppt,MEAN
2001-06-01T00:00:00Z,151.48903,ppt,MEAN
2001-07-01T00:00:00Z,136.39697,ppt,MEAN
2001-08-01T00:00:00Z,112.92668,ppt,MEAN
2001-09-01T00:00:00Z,66.42598,ppt,MEAN
2001-10-01T00:00:00Z,37.07026,ppt,MEAN
2001-11-01T00:00:00Z,13.743108,ppt,MEAN
2001-12-01T00:00:00Z,43.158596,ppt,MEAN
2002-01-01T00:00:00Z,129.47208,ppt,MEAN
2002-02-01T00:00:00Z,31.257877,ppt,MEAN
2002-03-01T00:00:00Z,85.79001,ppt,MEAN
2002-04-01T00:00:00Z,38.81809,ppt,MEAN
2002-05-01T00:00:00Z,43.415718,ppt,MEAN
2002-06-01T00:00:00Z,79.105034,ppt,MEAN
2002-07-01T00:00:00Z,108.64563,ppt,MEAN
2002-08-01T00:00:00Z,134.55371,ppt,MEAN
2002-09-01T00:00:00Z,103.166176,ppt,MEAN
2002-10-01T00:00:00Z,236.81326,ppt,MEAN
2002-11-01T00:00:00Z,90.41037,ppt,MEAN
2002-12-01T00:00:00Z,132.29466,ppt,MEAN
2003-01-01T00:00:00Z,60.198616,ppt,MEAN
2003-02-01T00:00:00Z,147.115,ppt,MEAN
2003-03-01T00:00:00Z,185.3195,ppt,MEAN
2003-04-01T00:00:00Z,161.22841,ppt,MEAN
2003-05-01T00:00:00Z,140.52788,ppt,MEAN
2003-06-01T00:00:00Z,121.18879,ppt,MEAN
2003-07-01T00:00:00Z,154.70168,ppt,MEAN
2003-08-01T00:00:00Z,176.18462,ppt,MEAN
2003-09-01T00:00:00Z,139.96994,ppt,MEAN
2003-10-01T00:00:00Z,72.22943,ppt,MEAN
2003-11-01T00:00:00Z,46.90271,ppt,MEAN
2003-12-01T00:00:00Z,96.857346,ppt,MEAN
2004-01-01T00:00:00Z,36.27915,ppt,MEAN
2004-02-01T00:00:00Z,70.994774,ppt,MEAN
2004-03-01T00:00:00Z,55.729195,ppt,MEAN
2004-04-01T00:00:00Z,59.152313,ppt,MEAN
2004-05-01T00:00:00Z,89.47118,ppt,MEAN
2004-06-01T00:00:00Z,93.3739,ppt,MEAN
2004-07-01T00:00:00Z,133.22398,ppt,MEAN
2004-08-01T00:00:00Z,209.47821,ppt,MEAN
2004-09-01T00:00:00Z,112.77192,ppt,MEAN
2004-10-01T00:00:00Z,60.15809,ppt,MEAN
2004-11-01T00:00:00Z,96.35644,ppt,MEAN
2004-12-01T00:00:00Z,53.940624,ppt,MEAN
2005-01-01T00:00:00Z,90.40871,ppt,MEAN
2005-02-01T00:00:00Z,64.91102,ppt,MEAN
2005-03-01T00:00:00Z,117.695755,ppt,MEAN
2005-04-01T00:00:00Z,56.72782,ppt,MEAN
2005-05-01T00:00:00Z,56.874336,ppt,MEAN
2005-06-01T00:00:00Z,73.81064,ppt,MEAN
2005-07-01T00:00:00Z,113.20876,ppt,MEAN
2005-08-01T00:00:00Z,77.6872,ppt,MEAN
2005-09-01T00:00:00Z,27.153196,ppt,MEAN
2005-10-01T00:00:00Z,79.07874,ppt,MEAN
2005-11-01T00:00:00Z,122.761284,ppt,MEAN
2005-12-01T00:00:00Z,120.84185,ppt,MEAN
2006-01-01T00:00:00Z,60.90197,ppt,MEAN
2006-02-01T00:00:00Z,50.854656,ppt,MEAN
2006-03-01T00:00:00Z,39.942493,ppt,MEAN
2006-04-01T00:00:00Z,106.235435,ppt,MEAN
2006-05-01T00:00:00Z,61.949814,ppt,MEAN
2006-06-01T00:00:00Z,187.87932,ppt,MEAN
2006-07-01T00:00:00Z,115.43476,ppt,MEAN
2006-08-01T00:00:00Z,83.20525,ppt,MEAN
2006-09-01T00:00:00Z,132.26909,ppt,MEAN
2006-10-01T00:00:00Z,108.37513,ppt,MEAN
2006-11-01T00:00:00Z,188.07356,ppt,MEAN
2006-12-01T00:00:00Z,76.48902,ppt,MEAN
2007-01-01T00:00:00Z,87.146996,ppt,MEAN
2007-02-01T00:00:00Z,56.547993,ppt,MEAN
2007-03-01T00:00:00Z,93.1856,ppt,MEAN
2007-04-01T00:00:00Z,98.48229,ppt,MEAN
2007-05-01T00:00:00Z,57.5704,ppt,MEAN
2007-06-01T00:00:00Z,90.066795,ppt,MEAN
2007-07-01T00:00:00Z,65.60882,ppt,MEAN
2007-08-01T00:00:00Z,27.133411,ppt,MEAN
2007-09-01T00:00:00Z,32.143642,ppt,MEAN
2007-10-01T00:00:00Z,134.01729,ppt,MEAN
2007-11-01T00:00:00Z,26.277143,ppt,MEAN
2007-12-01T00:00:00Z,108.79865,ppt,MEAN
2008-01-01T00:00:00Z,38.22407,ppt,MEAN
2008-02-01T00:00:00Z,77.171394,ppt,MEAN
2008-03-01T00:00:00Z,135.60417,ppt,MEAN
2008-04-01T00:00:00Z,123.53255,ppt,MEAN
2008-05-01T00:00:00Z,90.34104,ppt,MEAN
2008-06-01T00:00:00Z,83.24969,ppt,MEAN
2008-07-01T00:00:00Z,119.47951,ppt,MEAN
2008-08-01T00:00:00Z,152.39389,ppt,MEAN
2008-09-01T00:00:00Z,202.19075,ppt,MEAN
2008-10-01T00:00:00Z,25.00052,ppt,MEAN
2008-11-01T00:00:00Z,88.44993,ppt,MEAN
2008-12-01T00:00:00Z,99.466805,ppt,MEAN
2009-01-01T00:00:00Z,65.37028,ppt,MEAN
2009-02-01T00:00:00Z,45.769382,ppt,MEAN
2009-03-01T00:00:00Z,150.20619,ppt,MEAN
2009-04-01T00:00:00Z,42.16257,ppt,MEAN
2009-05-01T00:00:00Z,98.39917,ppt,MEAN
2009-06-01T00:00:00Z,142.36282,ppt,MEAN
2009-07-01T00:00:00Z,68.30648,ppt,MEAN
2009-08-01T00:00:00Z,72.33885,ppt,MEAN
2009-09-01T00:00:00Z,91.89529,ppt,MEAN
2009-10-01T00:00:00Z,70.9763,ppt,MEAN
2009-11-01T00:00:00Z,197.74806,ppt,MEAN
2009-12-01T00:00:00Z,182.35347,ppt,MEAN
2010-01-01T00:00:00Z,108.261055,ppt,MEAN
2010-02-01T00:00:00Z,96.20269,ppt,MEAN
2010-03-01T00:00:00Z,80.13084,ppt,MEAN
2010-04-01T00:00:00Z,29.37158,ppt,MEAN
2010-05-01T00:00:00Z,163.50536,ppt,MEAN
2010-06-01T00:00:00Z,68.95262,ppt,MEAN
2010-07-01T00:00:00Z,94.670105,ppt,MEAN
2010-08-01T00:00:00Z,85.95911,ppt,MEAN
2010-09-01T00:00:00Z,145.82262,ppt,MEAN
2010-10-01T00:00:00Z,62.70303,ppt,MEAN
2010-11-01T00:00:00Z,44.25664,ppt,MEAN
2010-12-01T00:00:00Z,48.144577,ppt,MEAN
2011-01-01T00:00:00Z,32.834415,ppt,MEAN
2011-02-01T00:00:00Z,37.76646,ppt,MEAN
2011-03-01T00:00:00Z,115.408775,ppt,MEAN
2011-04-01T00:00:00Z,77.85373,ppt,MEAN
2011-05-01T00:00:00Z,129.42552,ppt,MEAN
2011-06-01T00:00:00Z,65.72323,ppt,MEAN
2011-07-01T00:00:00Z,98.045265,ppt,MEAN
2011-08-01T00:00:00Z,102.332275,ppt,MEAN
2011-09-01T00:00:00Z,135.77638,ppt,MEAN
2011-10-01T00:00:00Z,80.990776,ppt,MEAN
2011-11-01T00:00:00Z,108.116936,ppt,MEAN
2011-12-01T00:00:00Z,59.170082,ppt,MEAN
2012-01-01T00:00:00Z,49.560993,ppt,MEAN
2012-02-01T00:00:00Z,57.48914,ppt,MEAN
2012-03-01T00:00:00Z,113.550446,ppt,MEAN
2012-04-01T00:00:00Z,59.93083,ppt,MEAN
2012-05-01T00:00:00Z,129.63683,ppt,MEAN
2012-06-01T00:00:00Z,70.37006,ppt,MEAN
2012-07-01T00:00:00Z,136.81114,ppt,MEAN
2012-08-01T00:00:00Z,89.5356,ppt,MEAN
2012-09-01T00:00:00Z,208.2699,ppt,MEAN
2012-10-01T00:00:00Z,62.321304,ppt,MEAN
2012-11-01T00:00:00Z,11.639051,ppt,MEAN
2012-12-01T00:00:00Z,85.750946,ppt,MEAN
2013-01-01T00:00:00Z,83.73259,ppt,MEAN
2013-02-01T00:00:00Z,97.2334,ppt,MEAN
